INFO  - 2021-01-07 11:05:39.829; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:09:41.345; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; ---starting PlanCanada_TestTribute_TC03--- 
INFO  - 2021-01-07 11:10:00.927; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:13:46.288; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; ---starting PlanCanada_TestTribute_TC03--- 
INFO  - 2021-01-07 11:14:04.102; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:23:00.037; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; ---starting PlanCanada_TestTribute_TC03--- 
INFO  - 2021-01-07 11:23:20.063; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:25:02.260; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; ---starting PlanCanada_TestTribute_TC03--- 
INFO  - 2021-01-07 11:25:31.814; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:26:53.370; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03_Message; ---starting PlanCanada_TestTribute_TC03--- 
INFO  - 2021-01-07 11:27:11.876; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03_Message; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:33:50.398; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 11:38:21.094; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 11:43:47.989; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 11:47:22.213; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 11:47:58.546; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-07 11:53:44.884; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 11:54:20.716; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-07 12:01:27.406; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
